 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO58504,XCIEN,MAYO,12/5/2026,,,KEVIN TORRES,JONATHAN TORRES,,BEATRIZ PASCUALA RAMIREZ RAMIREZ,"Sandur, SIDP-100, BEATRIZ PASCUALA RAMIREZ RAMIREZ, SITIO LTP",,"-6,300",,"-6,300",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Acherbis,18,EMPRESARIAL,EAC,DECREMENTO,NO,"-113,400.00",SÍ,,,,,
SO58594,HUUS,MAYO,12/5/2026,14/5/2026,SI,NANCY FUENTES,FRANCISCO VILLATORO,,ALMACENADORA SUR SA DE CV ORGANIZACION AUXILIAR DEL CREDITO,"HUUS, CDD, ALMACENADORA SUR SA DE CV ORGANIZACION AUXILIAR DEL CREDITO, LOGITIK PARK SN LUIS POTOSI",,,"2,990","2,990",SÍ,NO,NO,,,,ON,Cerro Gordo,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,
SO58702,XCIEN,MAYO,12/5/2026,,,EDWIN GARZA,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, CDD, FOMENTO EMPRESARIAL INMOBILIARIO, BO Cantabria 8",,0,,0,SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,,,,,
SO58678,XCIEN,MAYO,13/5/2026,,,CECILIA NUÑEZ,DANIEL GONZÁLEZ,,SLW BUSINESS CENTER,"Sandur, SIDP-100 + AD, SLW BUSINESS CENTER, SITIO SLW SANTA ISABEL",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO/AD,100,ON,,,EMPRESARIAL,EAC,CORTESÍA,NO,0.00,S/D,,,,,Por acuerdo de Felipe y el Ing. Juan Héctor se harán cortesía
SO58679,XCIEN,MAYO,13/5/2026,,,CECILIA NUÑEZ,DANIEL GONZÁLEZ,,SLW BUSINESS CENTER,"Sandur, SIDP-100 + AD, SLW BUSINESS CENTER, SITIO SLW RUFINO TAMAYO",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO/AD,100,ON,,,EMPRESARIAL,EAC,CORTESÍA,NO,0.00,S/D,,,,,Por acuerdo de Felipe y el Ing. Juan Héctor se harán cortesía
SO58657,XCIEN,MAYO,13/5/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, C2 SALTILLO",,0,,0,SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,servidor de almacenamiento  relacionado al proyecto de comisarías.
SO58720,XCIEN,MAYO,13/5/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, GRUPO 1",,0,,0,SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,servidor de almacenamiento  relacionado al proyecto de comisarías.
SO58721,XCIEN,MAYO,13/5/2026,,,FRANCISCO ALDAY,OSCAR RIVERA,,"COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA","Sandur, SST-S, COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA DEL MUNICIPIO DE SALTILLO, COAHUILA DE ZARAGOZA, GRUPO  2",,0,,0,SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,,,,,servidor de almacenamiento  relacionado al proyecto de comisarías.
SO58128,XCIEN,MAYO,13/5/2026,27/5/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,, PEGAMENTOS GARZA,"Sandur, SIMP-20, PEGAMENTOS GARZA, SITIO: PARQUE IND UNIDAD NACIONAL // BLINDAJE FASE 3",,"1,199",,"1,199",SÍ,NO,NO,PYME,PYME,20,ON,,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"43,164.00",SÍ,,,,,Renovación
SO57671,XCIEN,MAYO,13/5/2026,,,EDWIN GARZA,CLAUDIA NIETO,,HOGAR SAN VICENTE DE PAUL,"Sandur, SVOZ-EXT-N2P, HOGAR SAN VICENTE DE PAUL, SITIO SAN VICENTE",,0,,0,NO,SÍ,SÍ,SERVICIOS ADMINISTRADOS,TELEFONÍA,,OFF,N2P,,OTRO,OTRO,CORTESÍA,NO,0.00,S/D,,,,,Cortesía autorizada por el Ing. Uri por 12 meses
SO57296,XCIEN,MAYO,13/5/2026,,,EDWIN GARZA,CLAUDIA NIETO,,HOGAR SAN VICENTE DE PAUL,"Sandur, SIDP-50, HOGAR SAN VICENTE DE PAUL, SITIO SAN VICENTE",,0,,0,NO,SÍ,NO,DEDICADO,DEDICADO,50,ON,García,,OTRO,OTRO,CORTESÍA,NO,0.00,S/D,,,,,Cortesía autorizada por el Ing. Uri y el Ing. Rli solicitada por GPC
SO58604,XCIEN,MAYO,14/5/2026,27/5/2026,SI,KEVIN TORRES,ALEJANDRA TELLEZ,IRIS RAMÍREZ,LYNXSEC,"Sandur, Collo-Rack/RB, LYNXSEC, LOMAS VERDES","[SO58604] Sandur, Collo-Rack/RB, LYNXSEC","20,750",,"20,750",SÍ,NO,NO,SERVICIOS ADMINISTRADOS,COUBICACIÓN,,ON,Rep Lomas Verdes,12,EMPRESARIAL,DISTRIBUIDOR,UPSALE,SÍ,"249,000.00",SÍ,,,,,Coubicación de 9 equipos en nuestra RB
SO58646,XCIEN,MAYO,14/5/2026,27/5/2026,SI,EDWIN GARZA,GERARDO DE LA GARZA,DANIEL GONZÁLEZ,BECA TRADERS,"Sandur, SIS-50-10-ilimitado, BECA TRADERS, SITIO: PESQUERIA","[SO58646] Sandur, SIS-50-10-ilimitado, BECA TRADERS","4,200",,"4,200",NO,SÍ,SÍ,SATELITAL,SATELITAL,50,OFF,Starlink,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"151,200.00",SÍ,,,,,
SO58658,XCIEN,MAYO,14/5/2026,,,NANCY FUENTES,CLAUDIA NIETO,, JUAN JESUS REYES MINOR,"Sandur, SID-20, JUAN JESUS REYES MINOR, SITIO PASTOR II",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Rep Pastor Rouaix,,OTRO,OTRO,CORTESÍA,NO,0.00,S/D,,,,,Servicio de cortesía para el arrendedaor de el Rep Pastor Rouaix
SO58793,XCIEN,MAYO,14/5/2026,,,CECILIA NUÑEZ,CLAUDIA NIETO,,CECILIA FLORES CARRILLO,"Sandur, SIP-30x15, CECILIA FLORES CARRILLO, SITIO CECILIA FLORES",,,0,0,SÍ,NO,NO,PYME,PROFESIONAL,30,ON,,,OTRO,OTRO,CORTESÍA,NO,0.00,NO,,,,,Servicio de empleado
SO57842,HUUS,MAYO,14/5/2026,,,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,CARMI LOGISTICS GLOBAL,"HUUS, SIDP-50, CARMI LOGISTICS GLOBAL, SITIO CDMX","[Offnet:SO57842] HUUS, SIDP-50, CARMI LOGISTICS GLOBAL","1,635",,"1,635",SÍ,SÍ,NO,DEDICADO,DEDICADO,50,OFF,,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"58,860.00",SÍ,,,,,Se iba a entregar mediante MO pero no se tuvo lv y se hara enyrega mediante FO y hay incremento de precio
SO57841,HUUS,MAYO,15/5/2026,,,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,CARMI LOGISTICS GLOBAL,"HUUS, SIDP-50, CARMI LOGISTICS GLOBAL, SITIO QUERETARO","[Offnet:SO57841] HUUS, SIDP-50, CARMI LOGISTICS GLOBAL","1,935",,"1,935",SÍ,SÍ,NO,DEDICADO,DEDICADO,50,OFF,,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"69,660.00",SÍ,,,,,Se iba a entregar mediante MO pero no se tuvo lv y se hara enyrega mediante FO y hay incremento de precio//Era on y cambio a off; ya no aplica promoción de marzo
SO57839,HUUS,MAYO,15/5/2026,,,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,CARMI LOGISTICS GLOBAL,"HUUS, SIDP-50, CARMI LOGISTICS GLOBAL, SITIO AGUASCALIENTES","
[Offnet:SO57839] HUUS, SIDP-50, CARMI LOGISTICS GLOBAL",70,,70,SÍ,SÍ,NO,DEDICADO,DEDICADO,50,OFF,,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"2,520.00",SÍ,,,,,Se iba a entregar mediante MO pero no se tuvo lv y se hara enyrega mediante FO y hay incremento de precio; cambia de proveedor
SO57843,HUUS,MAYO,15/5/2026,27/5/2026,SI,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,CARMI LOGISTICS GLOBAL,"HUUS, SIDP-50, CARMI LOGISTICS GLOBAL, SITIO VERACRUZ","
[Offnet:SO57843] HUUS, SIDP-50, CARMI LOGISTICS GLOBAL","-2,565",,"-2,565",SÍ,SÍ,NO,DEDICADO,DEDICADO,50,OFF,,36,EMPRESARIAL,VENTA DIRECTA,DECREMENTO,NO,"-92,340.00",SÍ,,,,,Se iba a entregar mediante MO pero no se tuvo lv y se hara entrega mediante FO y hay decremento de precio
SO58761,XCIEN,MAYO,15/5/2026,,,EDWIN GARZA,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, SRPV-10, FOMENTO EMPRESARIAL INMOBILIARIO, SITIO: CEDIS REYNOSA",,,0,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,RED PRIVADA,10,ON,,,EMPRESARIAL,EAC,CREACIÓN SOP,NO,0.00,NO,,,,,Se crea tarea  para creación de SOP
SO57673,HUUS,MAYO,15/5/2026,,,NANCY FUENTES,LEONARDO RODRÍGUEZ,,HINOFAR,"HUUS, SIRPA-20/10, HINOFAR, SITIO: PALO BLANCO",,-288,,-288,SÍ,NO,NO,DEDICADO,RESIDENCIAL,20,ON,,,EMPRESARIAL,EAC,DECREMENTO,NO,0.00,SÍ,,,,,Solo se confirma venta para decremento en facturación
SO58802,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,SERVICIOS DE SALUD DE COAHUILA DE ZARAGOZA,"Luminet, SIMP-15, SERVICIOS DE SALUD DE COAHUILA DE ZARAGOZA, Almacen SSA",,"2,759",,"2,759",SÍ,NO,NO,PYME,PYME,15,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,NO,,,,,Se solicita la recativación de la factura por 2 meses
SO57977,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"Luminet, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC -VILLA UNION",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO57978,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - CASTAÑOS",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO57979,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - MONCLOVA SUR",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO57980,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - MONCLOVA NORTE",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO57989,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - ABASOLO",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO57993,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - NADADORES",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO57995,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - FRONTERA",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO57996,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - MONCLOVA AZTECA",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO57997,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - FRONTERA",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO57998,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC XOCHIPILLI",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58018,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - PALAU",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58033,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - AGUJITA",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58034,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - SAN BUENAVETURA",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58036,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - MORELOS",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58037,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - SAN ANTONIO DE LA CASCADA",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58042,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - SABINAS",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58059,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - PIEDRAS NEGRAS NORTE",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58061,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - SAN JOSE DEL AURA",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58066,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - GUERRERO",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58080,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - JUAREZ",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58081,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - PIEDRAS NEGRAS 1",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58164,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - NAVA",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58165,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, EMSAD - NUEVA ROSITA",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58166,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, CECYTEC - ACUÑA",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
SO58167,LUMINET,MAYO,18/5/2026,,,CECILIA NUÑEZ,OSCAR RIVERA,,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA,"2026, SIDP-80, COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE COAHUILA, SITIO CECYTEC PIEDRAS NEGRAS",,"12,381",,"12,381",SÍ,NO,NO,DEDICADO,DEDICADO,80,ON,,,GOBIERNO,OTRO,RENOVACIÓN,NO,0.00,SÍ,,,,,Sitios relacionados a la renovación 2026 de la cuenta CECYTEC con  plazo del 14 de Abril al 31 de Diciembre del 2026
